"u1","u2","u3","u4","u5","u6","u7","u8","u9"
-197.493,-7.24800000000005,-27882.8281239224,536.539230000009,27047.371,0.162,1.825,-1271.024,0.375
5672.507,-9.24800000000005,-27882.8281239224,-12803.69077,-441332.629,-0.838,1.825,124.976,0.375
7808.507,4.75199999999995,-27882.8281239224,-32136.13077,75966.371,-0.838,-2.175,-605.024,0.375
-3951.493,0.751999999999953,-27882.8281239224,123386.64923,52671.371,-1.838,1.825,1164.976,-0.625
4549.507,4.75199999999995,-27882.8281239224,-50322.57077,-291163.629,0.162,-2.175,20.9760000000001,0.375
2673.507,4.75199999999995,-27882.8281239224,-7887.54076999999,-367189.629,0.162,-2.175,748.976,-0.625
-1633.493,-3.24800000000005,-27882.8281239224,-20134.91077,30255.371,2.162,2.825,729.976,0.375
-976.493,-1.24800000000005,-27882.8281239224,-43985.07077,149613.371,1.162,-2.175,954.976,-0.625
4152.507,-9.24800000000005,-27882.8281239224,-10037.99077,-395662.629,-1.838,-2.175,330.976,-0.625
-2594.493,-11.248,-27882.8281239224,-50714.24077,323612.371,1.162,0.824999999999999,-935.024,0.375
480.507,10.752,-14704.1392839224,37884.04923,739362.371,0.162,0.824999999999999,124.976,0.375
4904.507,6.75199999999995,-14704.1392839224,37884.04923,-361182.629,1.162,-2.175,124.976,0.375
-3375.493,-4.24800000000005,-14704.1392839224,-45891.84077,40073.371,0.162,-1.175,-395.024,0.375
335.507,12.752,19086.0988360776,237752.84923,268055.371,-1.838,1.825,124.976,-0.625
1348.507,10.752,-10651.6988139224,50041.34923,-14782.629,2.162,1.825,644.976,0.375
-2454.493,-9.24800000000005,-10651.6988139224,-46914.08077,52389.371,1.162,-2.175,-747.024,-0.625
6239.507,-1.24800000000005,-10651.6988139224,-42594.79077,-405232.629,-1.838,-2.175,-135.024,-0.625
787.507,16.752,-10651.6988139224,-35878.24077,112345.371,-1.838,-0.175000000000001,-395.024,-0.625
-690.493,10.752,-10651.6988139224,52067.64923,189543.371,2.162,-2.175,124.976,0.375
-3911.493,4.75199999999995,-10651.6988139224,-7887.54076999999,7666.37099999998,0.162,-0.175000000000001,-395.024,0.375
-650.493,14.752,-10651.6988139224,29909.54923,94275.371,-1.838,-1.175,-135.024,-0.625
7908.507,-5.24800000000005,-10651.6988139224,-43485.82077,-331558.629,1.162,-2.175,-395.024,0.375
-3149.493,4.75199999999995,-10651.6988139224,16361.03923,93162.371,3.162,-2.175,374.976,0.375
5097.507,-12.248,-10651.6988139224,-36063.31077,-432991.629,-0.838,-1.175,-85.0239999999999,0.375
-2697.493,-1.24800000000005,-10651.6988139224,-32862.85077,36033.371,0.162,1.825,-655.024,0.375
-857.493,0.751999999999953,-10651.6988139224,-23733.84077,109773.371,-0.838,-2.175,384.976,-0.625
