"Pit","Tit","Yit"
75114.3022529688,22003.4892944499,97117.7915474187
197970.97949394,134952.145023675,332923.124517616
66698.0761437366,-6532.17206355858,60165.904080178
54450.7104317375,-17518.8176013733,36931.8928303642
30602.3927408333,-38736.4703861184,-8134.07764528508
112464.437460496,44003.6130776415,156468.050538138
112464.255173461,40396.3393376003,152860.594511061
312337.385578212,232024.865264867,544362.250843079
124614.451285977,32167.5970852489,156782.048371226
38702.0024382295,-54004.4868319656,-15302.4843937362
126647.821905749,35731.4707140014,162379.292619751
66691.7792368269,-25223.6661342355,41468.1131025914
90941.3616822903,143.149825484479,91084.5115077748
50852.4795014078,-39283.541301179,11568.9382002288
42422.8582505213,-45485.2841492808,-3062.42589875943
197973.775298641,110413.741156394,308387.516455034
9234.04778612202,-81305.3422344508,-72071.2944483288
55328.3095026646,-31892.8846397781,23435.4248628865
63064.2747899517,-22750.5464422015,40313.7283477502
128990.778489431,43601.8085721852,172592.587061616
62824.6710032522,-23733.1188059544,39091.5521972978
43074.5728627621,-42292.2347633593,782.338099402885
27849.0558886129,-55666.7578456417,-27817.7019570289
133370.223596086,51312.2396354477,184682.463231534
97850.448617764,14149.8487617321,112000.297379496
44153.0909857787,-39662.4554429199,4490.63554285876
341162.125562262,257087.444511125,598249.570073387
40055.4508018255,-51331.5383879534,-11276.0875861279
49087.227739335,-40499.9954318928,8587.23230744226
51976.426060231,-36170.6854848289,15805.7405754022
341169.893258987,252960.848144039,594130.741403026
61811.3493125161,-33383.1665928695,28428.1827196466
16322.4610212104,-77524.0535097552,-61201.5924885448
154525.876796332,62681.1516337795,217207.028430112
156736.387983863,63005.8832559925,219742.271239856
127316.691292813,31830.5331627647,159147.224455577
68401.5328207266,-27779.1831550972,40622.3496656294
43784.375409785,-51398.0927040841,-7613.71729429904
307003.29268227,212686.288889425,519689.581571695
90579.0687643682,-9328.41091591691,81250.6578484513
86972.1488211971,-12560.7725187995,74411.3763023976
75087.0688443019,-23960.0181612139,51127.050683088
341165.149507363,242296.440876587,583461.59038395
151565.00316604,46337.6847746944,197902.687940734
9068.83682157804,-97066.724703941,-87997.8878823629
286148.06177792,182290.634731718,468438.696509638
41201.7614241793,-67139.0919455323,-25937.3305213531
34734.2798341003,-71653.2608283575,-36918.9809942572
27876.2935049796,-76437.567543721,-48561.2740387414
86134.1523085248,-16101.9956595285,70032.1566489962
54229.8824064896,-47417.0123419488,6812.87006454087
44147.945376047,-56120.1404885114,-11972.1951124644
57023.0141128549,-41685.9896983552,15337.0244144996
124002.345908023,26410.5406160369,150412.88652406
97379.7720619419,-770.781209114062,96608.9908528278
85730.0036846214,-12298.1134444867,73431.8902401346
45298.1243456392,-52284.8600637145,-6986.73571807527
19477.4803843605,-76630.2779396734,-57152.7975553128
54347.8587463672,-39716.7269521996,14631.1317941675
79299.692510172,-13687.6767389839,65612.0157711882
54408.6609902901,-38118.3592543229,16290.3017359672
116399.867578612,24880.143144825,141280.010723437
39734.9246227384,-52285.6613267748,-12550.7367040364
60800.5278295384,-29828.6076694067,30971.9201601317
46103.2848234272,-43677.1779960794,2426.10682734774
35062.6767200989,-53535.5688537931,-18472.8921336942
79464.9039126621,-7742.23111949462,71722.6727931675
23095.517772211,-63812.1710107918,-40716.6532385808
21655.2500478711,-63582.1596159689,-41926.9095680978
145001.457523165,61373.7580958785,206375.215619043
35209.7891384572,-49853.2438987559,-14643.4547602987
63351.3218518124,-20407.2941960881,42944.0276557243
35681.5382248212,-47494.1265933071,-11812.5883684859
302759.598046541,220714.708641898,523474.306688439
36162.8030421455,-51194.1028986194,-15031.2998564739
67906.7862012641,-18119.3295311084,49787.4566701557
53207.1998810414,-32302.8329591949,20904.3669218464
115189.498066929,30529.509466383,145719.007533312
51324.901161063,-33997.5411208061,17327.3600402569
112766.044012576,28322.2036994266,141088.247712002
