"Pit","Tit","Yit"
547432.166349609,102290.401607081,649722.567956689
573062.584760778,121742.972441684,694805.557202462
153199.568692462,-297088.395130439,-143888.826437977
550638.922195607,108751.132501655,659390.054697262
669997.23886748,221089.569344977,891086.808212457
1259750.87464079,792377.342173435,2052128.21681423
159205.101839962,-328147.518118285,-168942.416278323
788441.281514763,307210.965845708,1095652.24736047
505595.846119436,15370.4261236384,520966.272243075
632728.501969971,140667.802519862,773396.304489832
709926.224951298,211940.274297695,921866.499248994
528051.804211626,24284.3405800613,552336.144791687
613544.427589048,108348.225357552,721892.6529466
630156.87642983,121314.324249674,751471.200679504
144204.907480293,-364520.29543956,-220315.387959268
150601.037989076,-346136.185910643,-195535.147921567
120485.126279809,-364969.553986285,-244484.427706476
117940.217500979,-356112.734867886,-238172.517366907
87199.8982591162,-375856.483800501,-288656.585541384
702089.095583447,246341.724823108,948430.820406555
838811.481505326,375238.318213088,1214049.79971841
183107.940967183,-287305.116647028,-104197.175679845
513836.755817476,49686.4945739971,563523.250391473
757937.817684156,291301.526422884,1049239.34410704
137104.383002392,-334231.329176033,-197126.946173641
72022.8467502248,-390223.590500424,-318200.743750199
742432.228044103,287363.731106509,1029795.95915061
150238.019199959,-309607.628489059,-159369.6092891
685569.268895221,231376.484072722,916945.752967943
563501.698704773,104136.939654674,667638.638359447
941502.401910465,478355.647551069,1419858.04946153
874835.139899996,400631.311675365,1275466.45157536
108117.274941686,-372903.278228565,-264786.003286878
569437.330160265,95761.3336402218,665198.663800486
417262.030197684,-58060.7872838787,359201.242913805
621065.287198017,146594.522599796,767659.809797814
952565.102274333,474054.660311956,1426619.76258629
92061.4758242973,-394600.273158223,-302538.797333926
204355.514985479,-273834.342415579,-69478.8274301002
880471.867912655,406763.62263075,1287235.49054341
122818.154327056,-357814.726103932,-234996.571776877
831164.285038186,356742.194106021,1187906.47914421
873941.09704038,392042.151853907,1265983.24889429
149829.240498907,-338710.964512432,-188881.724013524
555255.68539428,73118.3671589964,628374.052553277
996285.359551388,512006.081462907,1508291.4410143
214319.69486914,-278920.05732621,-64600.3624570699
107828.215510637,-379430.098054599,-271601.882543963
735573.240398055,255099.188124462,990672.428522517
711599.476202137,226189.376909521,937788.853111658
561761.86847561,72239.3897559962,634001.258231606
486327.910712072,-4350.48553601142,481977.425176061
561751.739775727,71222.4434615337,632974.183237261
473668.651974217,-17983.5615856688,455685.090388549
93612.2849750279,-397074.873618972,-303462.588643944
656894.462627076,173371.597200222,830266.059827298
99935.9630859707,-386160.250148907,-286224.287062936
111623.693772992,-366982.470549979,-255358.776776988
566482.146492239,94498.6287122058,660980.775204445
495329.998126301,21725.7970016343,517055.795127936
146775.111979809,-326810.20592259,-180035.093942782
459142.311562134,-8499.0339240449,450643.277638089
93373.268605109,-373710.776853603,-280337.508248494
815068.519766982,354433.474965628,1169501.99473261
192477.929429555,-274176.807791076,-81698.8783615214
132355.475030245,-329124.110135698,-196768.635105453
205917.861736603,-249497.35254217,-43579.4908055666
711053.540649897,259913.73510898,970967.275758877
209939.788722356,-245601.991410973,-35662.2026886173
595725.205605527,144460.568744998,740185.774350524
534015.123312184,80187.0233041811,614202.146616365
648398.455964197,193091.929307884,841490.38527208
164832.768483612,-293651.919075505,-128819.150591892
830905.299191726,377409.021335843,1208314.32052757
948972.251168101,488658.450872141,1437630.70204024
767901.030526547,298982.880964014,1066883.91149056
643682.312347622,169547.861257987,813230.173605609
548829.509750574,71814.1500781788,620643.659828753
978641.238686228,500280.704963827,1478921.94365006
550126.733976885,63169.0687402678,613295.802717153
818614.002232928,330568.076571725,1149182.07880465
856697.312273159,362929.345710022,1219626.65798318
694349.870596524,194403.931891015,888753.802487539
681478.855626121,178283.203575707,859762.059201828
551989.886230732,45902.89810015,597892.784330882
1074134.11799189,567283.658196613,1641417.77618851
752257.822107265,235750.480921996,988008.30302926
624708.281359569,104343.701879374,729051.983238943
120501.611737093,-401298.045963136,-280796.434226043
609859.86098221,95230.8759583267,705090.736940537
579298.974478838,63255.4594796829,642554.433958521
728915.965131226,211972.040027659,940888.005158886
149239.216195304,-371016.376023959,-221777.159828655
639190.137382129,125553.538807805,764743.676189933
78126.6441899047,-437329.940471622,-359203.296281717
644400.220271659,136673.088418105,781073.308689764
762783.707560886,252879.598709111,1015663.30627
630320.678120869,116282.808652406,746603.486773275
767471.260667551,251624.983948554,1019096.24461611
77463.5422547952,-442371.600818987,-364908.058564192
226490.833767809,-285459.240148046,-58968.4063802371
676797.952395716,169946.150633817,846744.103029533
948162.896455924,438543.066742379,1386705.9631983
481199.043988529,-35695.0578932743,445503.986095255
901712.015389009,385625.199517316,1287337.21490633
797719.048831717,275245.779547808,1072964.82837953
101758.204076851,-425096.022279537,-323337.818202686
517442.886886594,-1857.50145460866,515585.385431985
465829.229753548,-53179.6029134833,412649.626840065
528997.586772466,11144.260731687,540141.847504153
778868.831304253,261048.996147069,1039917.82745132
137853.903898583,-384121.177275748,-246267.273377165
520917.285274268,5770.15301703111,526687.438291299
649052.734655125,134031.840523435,783084.57517856
458520.56437612,-58540.3069764967,399980.257399623
609974.92286263,94155.6453910798,704130.568253709
131634.445109376,-385513.199613984,-253878.754504608
598709.299682461,88384.0230072328,687093.322689694
675097.046311965,163472.279162788,838569.325474753
539361.827958381,25177.7270954827,564539.555053864
779212.78585682,264829.104532103,1044041.89038892
632041.525705914,113374.818238939,745416.343944854
705943.484110638,185589.112711066,891532.596821704
797874.507805956,274607.087244523,1072481.59505048
642522.445969564,114838.400362861,757360.846332425
722576.684991484,193208.172327228,915784.857318712
921927.647586061,389532.700040292,1311460.34762635
144478.068752853,-394217.921209419,-249739.852456566
324105.349041085,-207549.306804399,116556.042236686
124080.00948057,-403728.220863497,-279648.211382927
180137.917525947,-340489.559090808,-160351.641564861
545443.87868953,30865.7978047962,576309.676494326
713061.137028448,198197.298509676,911258.435538124
343331.975575111,-174670.594723723,168661.380851388
548508.89477511,33749.8259746736,582258.720749784
822149.466858458,307043.746703611,1129193.21356207
185575.978116712,-334499.809838679,-148923.831721967
115838.668584284,-398265.487830906,-282426.819246622
211464.500343324,-295614.996181345,-84150.4958380208
669582.963269804,167728.89895949,837311.862229294
658490.504367551,153977.47730286,812467.981670411
93204.1277482692,-413706.885994301,-320502.758246031
124480.914900539,-375172.672926423,-250691.758025884
813312.986330673,320220.987224104,1133533.97355478
717511.443911273,219138.518611132,936649.962522404
772837.453481061,270928.658578598,1043766.11205966
90394.3780151218,-415910.995155746,-325516.617140624
117861.454905915,-381165.707568033,-263304.252662118
603989.842225066,111628.235897317,715618.078122383
535638.933644312,41555.6432334485,577194.576877761
503835.174611304,9209.03788408387,513044.212495388
542401.892521732,47789.9028286629,590191.795350395
158091.111558398,-337130.801210389,-179039.689651991
547807.56491271,58477.2827855883,606284.847698298
68764.3919409898,-421397.613994139,-352633.22205315
219131.291503546,-263715.301086579,-44584.0095830334
692532.584269959,214312.937726839,906845.521996798
109536.089083328,-372213.262687394,-262677.173604066
569190.372411312,93888.4360602902,663078.808471602
579766.228373267,102979.752931333,682745.9813046
680745.332106393,202328.409258729,883073.741365122
610158.036783981,128414.99993488,738573.036718861
711902.68609537,228111.54711029,940014.23320566
667621.786490338,180093.236220757,847715.022711095
583056.195865218,92616.0262341173,675672.222099335
487939.800474145,-3909.04791316627,484030.752560979
135990.370614996,-355612.739735447,-219622.369120451
145257.090515876,-340150.227485215,-194893.136969338
704803.255604011,225304.679520808,930107.93512482
845957.741652433,362760.841240744,1208718.58289318
112053.536950483,-377162.370020999,-265108.833070516
103077.45620989,-379571.960279016,-276494.504069126
525104.996823719,49023.1384152044,574128.135238923
675884.396422478,199083.09247859,874967.488901068
127663.29798674,-352396.869747024,-224733.571760284
112371.456519416,-361580.888249412,-249209.431729997
195496.73599319,-272215.548730446,-76718.8127372563
582247.359151118,119240.029916714,701487.389067832
101678.780727901,-363274.541528732,-261595.760800831
735493.543629522,276762.002161647,1012255.54579117
875815.481820211,412443.629067954,1288259.11088816
715183.541062578,244879.536457651,960063.077520229
551257.369625136,76889.6088321875,628146.978457323
262618.757586325,-212947.08967168,49671.6679146441
563775.00224648,91932.0776054708,655707.079851951
476950.118291503,3641.41041059721,480591.5287021
584477.942155085,111214.410667332,695692.352822417
750670.495645582,275622.082613094,1026292.57825868
1166638.16700065,687024.134684976,1853662.30168562
86365.5663856807,-404790.441789127,-318424.875403446
531056.12186718,46935.7143705812,577991.836237761
576548.189119036,91764.7756310936,668312.964750129
642992.228024984,156799.152863428,799791.380888412
964629.550324943,475915.647074869,1440545.19739981
739995.061261019,243353.780551269,983348.841812288
658019.802340123,157435.1335346,815454.935874724
815983.720847723,312920.203586418,1128903.92443414
770271.917214009,262099.649473283,1032371.56668729
679878.117159198,167482.990866287,847361.108025485
735386.129232627,220371.894579147,955758.023811774
514171.429659375,-4335.10499773914,509836.324661636
887491.744011908,369315.34973092,1256807.09374283
920177.468841002,395982.937779711,1316160.40662071
646189.547432363,115558.126504999,761747.673937362
614156.96816182,81852.1114012707,696009.079563091
462669.202290565,-70720.0383309968,391949.163959568
699543.73469252,167670.595302863,867214.329995383
988364.918113192,453940.899050252,1442305.81716344
548452.663160417,6632.7579285702,555085.421088987
680477.446409865,138877.541463585,819354.98787345
635522.918524514,91894.9763232239,727417.894847738
663624.844020122,118786.32605659,782411.170076712
1118957.34205889,572449.791958664,1691407.13401756
719920.588174173,164037.737215534,883958.325389707
130310.547349346,-427983.622956256,-297673.075606909
185195.05242258,-365428.797943096,-180233.745520516
290391.642997452,-253678.30144989,36713.3415475624
475527.362861284,-63899.1938366277,411628.169024656
1011127.12669414,473109.758580973,1484236.88527512
817802.113535994,272081.50503056,1089883.61856655
581459.012322267,31473.1673983384,612932.179720605
146215.098664325,-403944.170613792,-257729.071949466
738883.278871126,195936.468965209,934819.747836335
787573.852106596,241639.426991569,1029213.27909816
518306.262402996,-31379.6015969023,486926.660806094
627277.078170395,78484.8116373579,705761.889807753
396759.371060321,-153002.453409658,243756.917650663
538166.806007252,-8650.30846330612,529516.497543946
763549.527442939,217229.67784122,980779.205284158
499591.490404373,-50056.8906657311,449534.599738642
582216.307425171,33775.3147129944,615991.622138166
602685.199082745,54030.1936858787,656715.392768623
739060.989732534,189843.079334601,928904.069067135
629020.537144733,76942.8615990253,705963.398743759
527819.666994565,-25193.2550765068,502626.411918058
529061.612943304,-23145.4629736841,505916.149969619
217891.805737856,-333566.911659661,-115675.105921805
734412.777090217,188986.045094628,923398.822184845
628553.551359568,80265.6235244016,708819.17488397
107330.546232379,-441964.406356275,-334633.860123896
563993.066658981,22540.3014455144,586533.368104495
733013.187619447,191515.112063068,924528.299682515
734874.90793212,190474.456924067,925349.364856186
364224.691987927,-183075.514137128,181149.177850799
1227849.79533133,684010.090155016,1911859.88548634
514558.638042636,-40546.6139893802,474012.024053256
584523.334232591,30488.65215861,615011.986391201
174140.451852754,-380035.613724206,-205895.161871452
608505.860756726,61153.8797064349,669659.740463161
1000883.27562619,452842.518159482,1453725.79378567
1031979.28839424,476600.567468963,1508579.8558632
666805.158512383,103736.440926585,770541.599438968
164589.181250528,-399842.965957788,-235253.78470726
679863.750340492,122624.108790732,802487.859131224
620150.978925669,61226.425330955,681377.404256624
860202.784527622,300618.986455636,1160821.77098326
459994.062460884,-104286.36679594,355707.695664943
898684.916507435,336582.130792256,1235267.04729969
754988.645325336,187569.136179363,942557.781504699
181653.527354655,-388522.844170376,-206869.31681572
