,person,year,PPamount,labinc,wt,famsize,educ,hours,married
0,3874,1990,3031.07304,75107.69,547425,3,16.0,1204,1
1,9744,1988,3031.07304,61767.46,79045,2,16.0,2600,1
2,11880,2002,3031.07304,42435.02,596344,2,12.0,1870,1
3,120,1998,3031.07304,197957.8,573049,1,16.0,3640,0
4,8621,2002,3031.07304,24248.58,229214,3,12.0,2496,1
5,6745,2002,3031.07304,66683.61,153188,3,12.0,3224,0
6,2438,1994,3031.07304,54436.24,550633,5,17.0,3205,1
7,3095,1996,3031.07304,30586.08,669991,4,12.0,3430,0
8,8224,1988,3031.07304,64533.16,124715,1,12.0,2806,0
9,1477,1986,3031.07304,23856.91,843990,4,15.0,1540,1
10,4552,2008,16209.761880000002,112455.2,1259740,3,15.0,2600,1
11,8976,2004,16209.761880000002,112455.2,159195,4,12.0,2600,1
12,696,1993,16209.761880000002,28679.31,560451,3,13.0,2080,1
13,4407,2010,50000.0,312324.0,788433,1,16.0,2600,0
14,5420,2008,20262.20235,124612.5,505595,5,16.0,3120,1
15,1617,1988,20262.20235,27657.07,572767,4,12.0,1728,0
16,10311,1996,20262.20235,31976.36,115145,1,12.0,2340,0
17,4859,2014,20262.20235,38692.91,632723,1,14.0,2080,0
18,3381,2008,20262.20235,126638.8,709921,5,12.0,2600,1
19,160,2002,20262.20235,66683.61,528044,3,14.0,2080,1
20,3421,2012,20262.20235,104480.7,614653,1,13.0,2340,0
21,11980,1992,20262.20235,31085.33,188819,4,12.0,2080,1
22,922,2002,20262.20235,90932.19,613540,6,12.0,2850,1
23,9169,1985,20262.20235,38507.84,87386,2,13.0,2390,1
24,1374,1996,20262.20235,41708.3,556411,3,16.0,1820,1
25,3214,1998,20262.20235,50837.31,630151,2,12.0,2860,0
26,32,1988,20262.20235,42407.51,144194,1,17.0,1440,0
27,6776,1998,20262.20235,197957.8,150607,4,19.0,3640,1
28,5769,1988,20262.20235,9219.023,120461,5,14.0,800,1
29,8242,1988,20262.20235,55314.14,117936,4,12.0,2290,1
