person,year,PPamount,labinc,wt,famsize,educ,age,hours,male,married,race_white,race_black
3874,1990,,75107.69,547425,3,16,29,1204,1,1,1,0
9744,1988,,61767.46,79045,2,16,31,2600,1,1,1,0
11880,2002,,42435.02,596344,2,12,38,1870,1,1,1,0
120,1998,,197957.8,573049,1,16,36,3640,1,0,1,0
8621,2002,,24248.58,229214,3,12,43,2496,1,1,0,1
6745,2002,3031.07304,66683.61,153188,3,12,38,3224,0,0,0,0
2438,1994,,54436.24,550633,5,17,32,3205,1,1,1,0
3095,1996,,30586.08,669991,4,12,39,3430,0,0,1,0
8224,1988,,64533.16,124715,1,12,31,2806,1,0,0,1
1477,1986,,23856.91,843990,4,15,27,1540,1,1,1,0
4552,2008,16209.76188,112455.2,1259740,3,15,44,2600,1,1,1,0
8976,2004,,,159195,4,12,44,2600,1,1,0,1
696,1993,,28679.31,560451,3,13,30,2080,0,1,1,0
4407,2010,50000,312324,788433,1,16,49,2600,1,0,1,0
5420,2008,20262.20235,124612.5,505595,5,16,45,3120,1,1,1,0
1617,1988,,27657.07,572767,4,12,28,1728,0,0,1,0
10311,1996,,31976.36,115145,1,12,34,2340,1,0,0,0
4859,2014,,38692.91,632723,1,14,54,2080,1,0,1,0
3381,2008,,126638.8,709921,5,12,46,2600,1,1,1,0
160,2002,,66683.61,528044,3,14,42,2080,0,1,1,0
3421,2012,,104480.7,614653,1,13,51,2340,0,0,1,0
11980,1992,,31085.33,188819,4,12,31,2080,0,1,0,0
922,2002,,90932.19,613540,6,12,42,2850,1,1,1,0
9169,1985,,38507.84,87386,2,13,26,2390,1,1,1,0
1374,1996,,41708.3,556411,3,16,33,1820,0,1,1,0
3214,1998,,50837.31,630151,2,12,34,2860,1,0,1,0
32,1988,,42407.51,144194,1,17,30,1440,0,0,0,0
6776,1998,,197957.8,150607,4,19,36,3640,1,1,0,0
5769,1988,,9219.023,120461,5,14,30,800,0,1,0,0
8242,1988,,55314.14,117936,4,12,28,2290,1,1,1,0
5727,2002,7274.575296,63046.32,87199,1,14,38,3320,1,0,0,0
3558,2014,50669.28601,128976.4,702088,2,17,52,3120,0,1,1,0
5388,2002,,,559582,5,16,39,780,0,1,1,0
3575,2008,1013.110117,62812.83,838808,5,12,50,2080,1,1,1,0
1750,2000,,43059.98,183106,5,12,41,2080,1,1,0,0
4680,1986,,27833.06,513835,5,12,25,2311,1,1,1,0
2119,1990,,10014.36,137450,6,12,32,1255,0,1,1,0
1175,2002,24248.58432,133367.2,757940,1,19,44,3120,0,0,1,0
6894,2012,9498.249552,97831.97,137100,1,12,49,1480,1,0,0,1
9829,1994,,44137.49,72017,4,12,33,2756,1,1,0,0
960,2014,,341155.4,742433,2,15,54,3120,1,1,1,0
8045,2000,,18997.05,260721,1,10,40,2080,0,0,0,1
1142,1991,,40038.34,150234,3,16,33,2340,1,1,0,0
3777,1994,,51493.74,462180,5,12,34,2480,1,1,1,0
710,1990,,49070.36,685573,1,16,31,2440,1,0,1,0
1950,1991,,51969.76,563491,2,14,29,2928,1,0,1,0
554,2014,36850.38983,341155.4,941496,6,19,51,2600,1,1,1,0
4043,2002,,286133.3,647638,4,14,39,5200,1,1,1,0
2285,2008,,61799.72,874829,4,20,50,2132,0,1,1,0
285,1987,,16314.86,108106,4,10,25,1744,0,0,0,0
5540,2000,,154509.3,569437,2,14,37,2704,1,1,1,0
1143,1989,,43987.51,720468,2,16,29,2600,1,0,1,0
7720,2012,26595.09875,156721.1,417253,5,18,48,2600,1,1,0,0
1003,2002,,127305.1,621058,2,16,37,3120,1,1,1,0
888,2000,,68389.38,952565,4,12,42,2860,1,1,1,0
5013,1993,,43773.69,92063,5,14,29,3221,1,1,0,0
1142,2004,,306993.9,204338,4,16,46,2340,1,1,0,0
822,1993,,90566.26,880466,4,12,35,2820,1,1,1,0
2703,1998,,86958.55,122814,2,16,37,2080,1,1,0,0
39,1996,,75074.93,831154,2,12,37,3120,1,1,1,0
729,2014,460629.8728,341155.4,873935,3,13,55,3016,1,1,1,0
5784,2002,21823.72589,151553.7,149822,5,16,44,2444,1,1,0,0
4305,1993,,9056.625,555245,2,12,29,1041,0,1,1,0
6060,2014,,36850.39,306505,4,17,53,1920,1,1,0,1
5531,1987,,113987.2,697579,3,12,29,2600,1,1,1,0
2895,2002,,286133.3,996281,1,16,37,2600,1,0,1,0
4247,2008,,24314.64,561772,3,13,46,2600,1,1,1,0
906,2008,,121573.2,733202,4,19,43,2600,0,0,1,0
5808,1994,,41194.99,105167,4,12,34,2735,1,1,0,0
1142,2010,,,214316,2,16,51,2600,1,1,0,0
6353,1993,,34717.06,107827,3,13,32,2750,0,1,0,1
218,2010,,312324,982683,3,16,52,2414,1,1,1,0
2643,1989,,31671.01,115601,1,12,29,2514,1,0,0,0
1603,2000,,27862.34,735564,4,17,41,2080,1,1,1,0
1515,2008,,86114.36,711578,4,12,46,2860,1,1,1,0
1963,1994,,69148.74,592147,5,12,33,4028,1,1,1,0
5513,2008,,34445.74,499645,2,16,48,1720,1,1,1,0
11858,1988,,105325.5,200612,1,12,30,1960,0,0,1,0
9,2006,,70326.85,858945,4,14,43,2600,1,1,1,0
457,1996,,54220.79,561753,4,16,36,2600,1,1,1,0
3228,1994,,44137.49,486326,2,17,32,2185,1,1,1,0
1955,2010,400,57000,561751,2,14,47,2496,1,1,1,0
2073,1989,,16662.47,659875,3,12,30,2080,0,1,1,0
4705,1990,,123982.8,473661,1,16,29,3604,0,0,1,0
9847,2006,,97375.64,93605,1,19,42,2340,1,0,0,0
729,1986,,85723.84,656889,3,12,26,2880,1,1,1,0
7707,1993,,45283.13,99933,1,15,34,2600,1,0,0,1
9344,1996,,19463.87,111617,3,14,36,1920,0,1,0,0
2815,1993,,22641.56,557184,4,13,28,1970,1,1,1,0
3446,1988,,14750.44,625212,3,12,31,1370,0,0,1,0
5051,1993,,54339.75,566471,3,12,29,3933,1,1,1,0
4247,2010,,70000,574807,3,14,48,2600,1,1,1,0
5162,1988,,79283.6,495317,1,12,26,2496,0,0,1,0
4564,2002,,55771.74,248954,4,16,44,2600,0,1,0,1
9789,2008,,40524.41,115014,3,12,44,1372,0,1,0,0
1195,1992,,54399.32,146766,2,16,30,2600,0,0,0,1
4042,1998,,116390.7,459128,2,15,37,4160,1,1,1,0
7337,1994,,39723.75,93366,1,14,32,2080,0,0,0,1
871,2012,,101631.3,1004044,3,12,48,3120,1,1,1,0
9710,1987,,39827.46,105320,1,13,29,2204,1,0,1,0
3791,1985,,50668.21,580753,5,12,27,2910,0,1,1,0
1023,2008,,60786.61,815067,4,16,49,3120,1,1,1,0
7420,1988,,46095.12,192478,3,13,29,2150,0,1,1,0
5091,1990,,29375.45,627551,2,16,26,2132,0,1,1,0
10182,1990,,35050.25,132347,4,12,33,2388,0,0,0,1
6130,1994,,79447.49,205911,3,14,35,2160,0,1,0,1
3472,2002,,286133.3,610278,4,18,42,2600,1,1,1,0
1195,1990,,33381.2,145515,2,16,28,3470,0,0,0,1
8908,1994,,30896.25,103989,3,12,34,2608,1,1,0,0
37,1988,,35032.29,628703,3,12,29,2080,0,1,1,0
934,1984,,23080.6,711051,3,16,26,2695,1,1,1,0
2951,2006,135.2439461,21639.03,209930,1,10,46,1750,1,0,0,1
892,1990,,35050.25,549964,1,12,28,2730,0,0,1,0
1631,2010,50000,145000,595717,1,16,47,2600,1,0,1,0
2086,2000,,31661.75,735564,3,12,42,2340,1,0,1,0
2233,1989,,35190.01,534003,1,16,25,1600,1,0,1,0
891,1987,,63340.06,648390,2,12,27,3310,1,0,1,0
3341,2002,,37585.3,472983,3,18,40,2132,0,1,1,0
4508,1984,,35670.02,164827,1,16,26,2288,1,0,1,0
4407,2006,162292.7353,302747.4,830895,1,16,44,2600,1,0,1,0
6120,1998,,17391.71,122859,3,12,35,2080,0,0,0,1
3258,1996,,36147.19,948955,2,13,38,2080,1,1,1,0
4023,2002,,67896.04,767899,4,16,37,1976,0,1,1,0
3214,2000,,53191.74,643670,2,12,36,2860,1,0,1,0
3890,2002,8487.004512,115180.8,548817,4,18,38,2600,1,1,1,0
772,1993,,51320.88,978633,1,12,33,3514,1,0,1,0
5067,2002,,112755.9,550125,1,16,39,2080,1,0,1,0
5095,2010,,20000,678363,3,20,46,2080,1,1,1,0
3015,2012,,326578.3,818603,4,14,53,2652,1,1,1,0
1357,2008,,40524.41,856685,3,12,51,2600,1,1,1,0
4611,1994,,,694350,5,16,36,3120,1,1,1,0
1501,2008,,89153.69,839586,6,17,45,2340,1,1,1,0
1501,2006,,64917.09,877349,6,17,43,2335,1,1,1,0
468,2002,,92144.62,769439,5,16,44,2288,1,1,1,0
5206,2000,,79787.61,681466,1,13,40,3255,1,0,1,0
1630,1996,,54915.92,551983,3,15,32,2496,1,1,1,0
1182,1987,,30710.33,698260,1,17,28,2110,0,0,1,0
2025,1996,,192935.6,719480,4,13,37,3380,1,1,1,0
565,2014,,119763.8,1074126,1,13,54,2350,1,0,1,0
12018,2002,,42435.02,752251,3,12,45,2392,0,0,1,0
3653,1986,,56660.16,624697,1,12,26,2546,1,0,1,0
960,2004,,306993.9,678106,4,15,43,3120,1,1,1,0
5358,1989,,56304.01,120481,2,14,26,2720,1,1,1,0
883,2008,,32419.52,711081,3,15,43,2080,0,0,1,0
2499,1992,,,535098,4,9,32,3040,0,1,1,0
3351,1986,,25844.98,544091,1,15,26,1428,1,0,1,0
883,1989,,35190.01,609851,1,15,25,2664,0,0,1,0
5398,2010,40000,312324,579291,6,16,46,2340,1,1,1,0
5626,2012,20896.14902,104480.7,728903,4,12,47,2184,0,1,1,0
9418,2002,121242.9216,286133.3,149224,4,17,45,2600,1,1,0,1
1368,2004,9235.22535,43867.32,639181,2,16,43,3380,1,1,1,0
5859,1986,,39761.52,78121,4,16,28,2208,1,1,1,0
961,2014,,133582.7,644395,1,16,52,2340,1,0,1,0
4421,2014,1381.889619,64488.18,762781,3,18,51,1440,1,1,1,0
2048,1986,,59244.66,730330,1,16,26,2340,1,0,1,0
6455,1993,,13584.94,154826,5,17,31,1783,0,1,0,1
12023,2000,,73455.27,630321,2,17,36,2600,1,1,1,0
2421,2002,1818.643824,37585.3,767465,3,12,43,3380,1,1,1,0
5859,1988,,36876.09,77458,5,16,31,2144,1,1,1,0
