,person,year,labinc,wt,famsize,educ,age,hours,male,married,race_white,race_black,pp
0,3874,1990,75107.69,547425.0,3.0,16.0,29.0,1204.0,1.0,1.0,1.0,0.0,1.0
1,9744,1988,61767.46,79045.0,2.0,16.0,31.0,2600.0,1.0,1.0,1.0,0.0,0.0
2,11880,2002,42435.02,596344.0,2.0,12.0,38.0,1870.0,1.0,1.0,1.0,0.0,0.0
3,120,1998,197957.8,573049.0,1.0,16.0,36.0,3640.0,1.0,0.0,1.0,0.0,1.0
4,8621,2002,24248.58,229214.0,3.0,12.0,43.0,2496.0,1.0,1.0,0.0,1.0,0.0
5,6745,2002,66683.61,153188.0,3.0,12.0,38.0,3224.0,0.0,0.0,0.0,0.0,1.0
6,2438,1994,54436.24,550633.0,5.0,17.0,32.0,3205.0,1.0,1.0,1.0,0.0,1.0
7,3095,1996,30586.08,669991.0,4.0,12.0,39.0,3430.0,0.0,0.0,1.0,0.0,1.0
8,8224,1988,64533.16,124715.0,1.0,12.0,31.0,2806.0,1.0,0.0,0.0,1.0,0.0
9,1477,1986,23856.91,843990.0,4.0,15.0,27.0,1540.0,1.0,1.0,1.0,0.0,0.0
10,4552,2008,112455.2,1259740.0,3.0,15.0,44.0,2600.0,1.0,1.0,1.0,0.0,1.0
11,8976,2004,112455.2,159195.0,4.0,12.0,44.0,2600.0,1.0,1.0,0.0,1.0,1.0
12,696,1993,28679.31,560451.0,3.0,13.0,30.0,2080.0,0.0,1.0,1.0,0.0,0.0
13,4407,2010,312324.0,788433.0,1.0,16.0,49.0,2600.0,1.0,0.0,1.0,0.0,1.0
14,5420,2008,124612.5,505595.0,5.0,16.0,45.0,3120.0,1.0,1.0,1.0,0.0,1.0
15,1617,1988,27657.07,572767.0,4.0,12.0,28.0,1728.0,0.0,0.0,1.0,0.0,0.0
16,10311,1996,31976.36,115145.0,1.0,12.0,34.0,2340.0,1.0,0.0,0.0,0.0,0.0
17,4859,2014,38692.91,632723.0,1.0,14.0,54.0,2080.0,1.0,0.0,1.0,0.0,1.0
18,3381,2008,126638.8,709921.0,5.0,12.0,46.0,2600.0,1.0,1.0,1.0,0.0,1.0
19,160,2002,66683.61,528044.0,3.0,14.0,42.0,2080.0,0.0,1.0,1.0,0.0,1.0
20,3421,2012,104480.7,614653.0,1.0,13.0,51.0,2340.0,0.0,0.0,1.0,0.0,0.0
21,11980,1992,31085.33,188819.0,4.0,12.0,31.0,2080.0,0.0,1.0,0.0,0.0,0.0
22,922,2002,90932.19,613540.0,6.0,12.0,42.0,2850.0,1.0,1.0,1.0,0.0,1.0
23,9169,1985,38507.84,87386.0,2.0,13.0,26.0,2390.0,1.0,1.0,1.0,0.0,0.0
24,1374,1996,41708.3,556411.0,3.0,16.0,33.0,1820.0,0.0,1.0,1.0,0.0,0.0
25,3214,1998,50837.31,630151.0,2.0,12.0,34.0,2860.0,1.0,0.0,1.0,0.0,1.0
26,32,1988,42407.51,144194.0,1.0,17.0,30.0,1440.0,0.0,0.0,0.0,0.0,1.0
27,6776,1998,197957.8,150607.0,4.0,19.0,36.0,3640.0,1.0,1.0,0.0,0.0,1.0
28,5769,1988,9219.023000000001,120461.0,5.0,14.0,30.0,800.0,0.0,1.0,0.0,0.0,1.0
29,8242,1988,55314.14,117936.0,4.0,12.0,28.0,2290.0,1.0,1.0,1.0,0.0,1.0
30,5727,2002,63046.32,87199.0,1.0,14.0,38.0,3320.0,1.0,0.0,0.0,0.0,1.0
31,3558,2014,128976.4,702088.0,2.0,17.0,52.0,3120.0,0.0,1.0,1.0,0.0,1.0
32,5388,2002,128976.4,559582.0,5.0,16.0,39.0,780.0,0.0,1.0,1.0,0.0,0.0
33,3575,2008,62812.83,838808.0,5.0,12.0,50.0,2080.0,1.0,1.0,1.0,0.0,1.0
34,1750,2000,43059.98,183106.0,5.0,12.0,41.0,2080.0,1.0,1.0,0.0,0.0,1.0
35,4680,1986,27833.06,513835.0,5.0,12.0,25.0,2311.0,1.0,1.0,1.0,0.0,1.0
36,2119,1990,10014.36,137450.0,6.0,12.0,32.0,1255.0,0.0,1.0,1.0,0.0,0.0
37,1175,2002,133367.2,757940.0,1.0,19.0,44.0,3120.0,0.0,0.0,1.0,0.0,1.0
38,6894,2012,97831.97,137100.0,1.0,12.0,49.0,1480.0,1.0,0.0,0.0,1.0,1.0
39,9829,1994,44137.49,72017.0,4.0,12.0,33.0,2756.0,1.0,1.0,0.0,0.0,1.0
40,960,2014,341155.4,742433.0,2.0,15.0,54.0,3120.0,1.0,1.0,1.0,0.0,1.0
41,8045,2000,18997.05,260721.0,1.0,10.0,40.0,2080.0,0.0,0.0,0.0,1.0,0.0
42,1142,1991,40038.34,150234.0,3.0,16.0,33.0,2340.0,1.0,1.0,0.0,0.0,1.0
43,3777,1994,51493.74,462180.0,5.0,12.0,34.0,2480.0,1.0,1.0,1.0,0.0,0.0
44,710,1990,49070.36,685573.0,1.0,16.0,31.0,2440.0,1.0,0.0,1.0,0.0,1.0
45,1950,1991,51969.76,563491.0,2.0,14.0,29.0,2928.0,1.0,0.0,1.0,0.0,1.0
46,554,2014,341155.4,941496.0,6.0,19.0,51.0,2600.0,1.0,1.0,1.0,0.0,1.0
47,4043,2002,286133.3,647638.0,4.0,14.0,39.0,5200.0,1.0,1.0,1.0,0.0,0.0
48,2285,2008,61799.72,874829.0,4.0,20.0,50.0,2132.0,0.0,1.0,1.0,0.0,1.0
49,285,1987,16314.86,108106.0,4.0,10.0,25.0,1744.0,0.0,0.0,0.0,0.0,1.0
50,5540,2000,154509.3,569437.0,2.0,14.0,37.0,2704.0,1.0,1.0,1.0,0.0,1.0
51,1143,1989,43987.51,720468.0,2.0,16.0,29.0,2600.0,1.0,0.0,1.0,0.0,0.0
52,7720,2012,156721.1,417253.0,5.0,18.0,48.0,2600.0,1.0,1.0,0.0,0.0,1.0
53,1003,2002,127305.1,621058.0,2.0,16.0,37.0,3120.0,1.0,1.0,1.0,0.0,1.0
54,888,2000,68389.38,952565.0,4.0,12.0,42.0,2860.0,1.0,1.0,1.0,0.0,1.0
55,5013,1993,43773.69,92063.0,5.0,14.0,29.0,3221.0,1.0,1.0,0.0,0.0,1.0
56,1142,2004,306993.9,204338.0,4.0,16.0,46.0,2340.0,1.0,1.0,0.0,0.0,1.0
57,822,1993,90566.26,880466.0,4.0,12.0,35.0,2820.0,1.0,1.0,1.0,0.0,1.0
58,2703,1998,86958.55,122814.0,2.0,16.0,37.0,2080.0,1.0,1.0,0.0,0.0,1.0
59,39,1996,75074.93,831154.0,2.0,12.0,37.0,3120.0,1.0,1.0,1.0,0.0,1.0
60,729,2014,341155.4,873935.0,3.0,13.0,55.0,3016.0,1.0,1.0,1.0,0.0,1.0
61,5784,2002,151553.7,149822.0,5.0,16.0,44.0,2444.0,1.0,1.0,0.0,0.0,1.0
62,4305,1993,9056.625,555245.0,2.0,12.0,29.0,1041.0,0.0,1.0,1.0,0.0,1.0
