"person","year","labinc","wt","age","hours","male","married","pp"
934,1984,23080.6,711051,26,2695,1,1,1
4508,1984,35670.02,164827,26,2288,1,0,1
32,1984,20982.36,129534,26,2168,0,0,0
5263,1984,35670.02,150827,26,2080,1,1,0
6110,1984,29375.31,183846,25,2015,1,0,0
12396,1984,28326.19,266905,26,2635,1,1,0
1108,1984,31473.55,786358,26,1734,0,0,0
1606,1984,25178.84,525418,25,1900,0,1,0
17,1984,37768.25,988990,27,2340,1,0,0
1868,1984,17835.01,647590,26,2510,0,1,0
3147,1984,41964.73,546223,25,2530,1,0,0
710,1984,25178.84,634668,25,2480,1,0,0
9737,1984,46161.2,77592,27,2600,1,1,0
1843,1984,76740.9,762064,26,2080,1,1,0
10393,1984,20982.36,57656,26,1826,0,0,0
5665,1984,27277.07,757747,27,2480,1,0,0
705,1984,39866.49,629487,25,2496,1,0,0
1641,1984,50147.85,130750,25,2196,1,1,0
6325,1984,26018.13,109485,26,2080,1,0,0
7707,1984,25178.84,94635,25,2868,1,0,0
9683,1984,14687.65,142440,26,2016,1,1,0
10458,1984,11540.3,66349,25,1614,0,1,0
9744,1984,41964.73,77592,26,2320,1,0,0
9733,1984,32522.66,66349,25,2080,0,1,1
11917,1984,76740.9,627868,25,2140,1,0,1
4325,1984,38817.38,604053,25,1951,0,0,0
9457,1984,38294.91,57656,26,2080,0,0,1
8862,1984,27277.07,108500,25,2080,1,0,1
9876,1984,76740.9,110751,27,3090,1,1,0
7292,1984,50357.67,79920,26,2184,1,0,0
1983,1984,45741.55,550452,26,2080,0,1,0
6560,1984,36509.31,95590,27,1998,1,1,0
9561,1984,22031.48,124483,26,2112,1,1,0
583,1984,51616.62,989251,26,2000,1,1,0
3870,1984,39866.49,585238,25,2357,1,1,0
2619,1984,76740.9,839982,26,2600,1,1,1
348,1984,76740.9,648578,26,1515,1,1,0
1363,1984,41964.73,574971,25,3710,1,0,0
2997,1984,39237.02,546223,25,2481,1,0,1
722,1984,34253.71,659462,25,2660,1,1,0
5825,1984,31473.55,192118,26,2120,1,1,0
1522,1984,23919.89,197153,25,1969,0,0,0
3694,1984,31975.03,988850,25,2164,1,1,1
3180,1984,47210.32,658960,26,2080,1,0,0
10326,1984,76740.9,75062,26,2080,1,0,1
3817,1984,76740.9,636873,26,2680,0,0,0
5204,1984,44062.96,622994,26,2472,1,1,0
4257,1984,18884.13,755522,27,2209,0,0,0
1062,1984,76740.9,682778,25,2802,1,1,0
9259,1984,26227.96,110260,26,1836,0,1,0
1334,1984,52455.91,611477,25,2080,0,0,0
7776,1984,76740.9,119609,25,2530,1,1,0
8273,1984,27400.87,316342,25,2080,0,1,0
3916,1984,50357.67,187048,26,2405,1,0,0
2248,1984,38817.38,718510,26,2145,1,0,0
10296,1984,25178.84,72769,25,2080,0,1,0
