,person,year,labinc,wt,age,hours,male,married,pp
0,3874,1990,75107.69,547425,29,1204,1,1,1
1,9744,1988,61767.46,79045,31,2600,1,1,0
2,11880,2002,42435.02,596344,38,1870,1,1,0
3,120,1998,197957.8,573049,36,3640,1,0,1
4,8621,2002,24248.58,229214,43,2496,1,1,0
5,6745,2002,66683.61,153188,38,3224,0,0,1
6,2438,1994,54436.24,550633,32,3205,1,1,1
7,3095,1996,30586.08,669991,39,3430,0,0,1
8,8224,1988,64533.16,124715,31,2806,1,0,0
9,1477,1986,23856.91,843990,27,1540,1,1,0
10,4552,2008,112455.2,1259740,44,2600,1,1,1
11,8976,2004,112455.2,159195,44,2600,1,1,1
12,696,1993,28679.31,560451,30,2080,0,1,0
13,4407,2010,312324.0,788433,49,2600,1,0,1
14,5420,2008,124612.5,505595,45,3120,1,1,1
15,1617,1988,27657.07,572767,28,1728,0,0,0
16,10311,1996,31976.36,115145,34,2340,1,0,0
17,4859,2014,38692.91,632723,54,2080,1,0,1
18,3381,2008,126638.8,709921,46,2600,1,1,1
19,160,2002,66683.61,528044,42,2080,0,1,1
20,3421,2012,104480.7,614653,51,2340,0,0,0
21,11980,1992,31085.33,188819,31,2080,0,1,0
22,922,2002,90932.19,613540,42,2850,1,1,1
23,9169,1985,38507.84,87386,26,2390,1,1,0
24,1374,1996,41708.3,556411,33,1820,0,1,0
25,3214,1998,50837.31,630151,34,2860,1,0,1
26,32,1988,42407.51,144194,30,1440,0,0,1
27,6776,1998,197957.8,150607,36,3640,1,1,1
28,5769,1988,9219.023000000001,120461,30,800,0,1,1
29,8242,1988,55314.14,117936,28,2290,1,1,1
30,5727,2002,63046.32,87199,38,3320,1,0,1
31,3558,2014,128976.4,702088,52,3120,0,1,1
32,5388,2002,128976.4,559582,39,780,0,1,0
33,3575,2008,62812.83,838808,50,2080,1,1,1
34,1750,2000,43059.98,183106,41,2080,1,1,1
35,4680,1986,27833.06,513835,25,2311,1,1,1
36,2119,1990,10014.36,137450,32,1255,0,1,0
37,1175,2002,133367.2,757940,44,3120,0,0,1
38,6894,2012,97831.97,137100,49,1480,1,0,1
39,9829,1994,44137.49,72017,33,2756,1,1,1
40,960,2014,341155.4,742433,54,3120,1,1,1
41,8045,2000,18997.05,260721,40,2080,0,0,0
42,1142,1991,40038.34,150234,33,2340,1,1,1
43,3777,1994,51493.74,462180,34,2480,1,1,0
44,710,1990,49070.36,685573,31,2440,1,0,1
45,1950,1991,51969.76,563491,29,2928,1,0,1
46,554,2014,341155.4,941496,51,2600,1,1,1
47,4043,2002,286133.3,647638,39,5200,1,1,0
48,2285,2008,61799.72,874829,50,2132,0,1,1
49,285,1987,16314.86,108106,25,1744,0,0,1
50,5540,2000,154509.3,569437,37,2704,1,1,1
51,1143,1989,43987.51,720468,29,2600,1,0,0
52,7720,2012,156721.1,417253,48,2600,1,1,1
53,1003,2002,127305.1,621058,37,3120,1,1,1
54,888,2000,68389.38,952565,42,2860,1,1,1
