,person,year,labinc,wt,age,hours,male,married,pp
1,9744,1988,61767.46,79045,31,2600,1,1,0
2,11880,2002,42435.02,596344,38,1870,1,1,0
4,8621,2002,24248.58,229214,43,2496,1,1,0
8,8224,1988,64533.16,124715,31,2806,1,0,0
9,1477,1986,23856.91,843990,27,1540,1,1,0
12,696,1993,28679.31,560451,30,2080,0,1,0
15,1617,1988,27657.07,572767,28,1728,0,0,0
16,10311,1996,31976.36,115145,34,2340,1,0,0
20,3421,2012,104480.7,614653,51,2340,0,0,0
21,11980,1992,31085.33,188819,31,2080,0,1,0
23,9169,1985,38507.84,87386,26,2390,1,1,0
24,1374,1996,41708.3,556411,33,1820,0,1,0
32,5388,2002,128976.4,559582,39,780,0,1,0
36,2119,1990,10014.36,137450,32,1255,0,1,0
41,8045,2000,18997.05,260721,40,2080,0,0,0
43,3777,1994,51493.74,462180,34,2480,1,1,0
47,4043,2002,286133.3,647638,39,5200,1,1,0
51,1143,1989,43987.51,720468,29,2600,1,0,0
63,6060,2014,36850.39,306505,53,1920,1,1,0
64,5531,1987,113987.2,697579,29,2600,1,1,0
66,4247,2008,24314.64,561772,46,2600,1,1,0
67,906,2008,121573.2,733202,43,2600,0,0,0
68,5808,1994,41194.99,105167,34,2735,1,1,0
71,218,2010,312324.0,982683,52,2414,1,1,0
72,2643,1989,31671.01,115601,29,2514,1,0,0
75,1963,1994,69148.74,592147,33,4028,1,1,0
76,5513,2008,34445.74,499645,48,1720,1,1,0
77,11858,1988,105325.5,200612,30,1960,0,0,0
78,9,2006,70326.85,858945,43,2600,1,1,0
82,2073,1989,16662.47,659875,30,2080,0,1,0
88,2815,1993,22641.56,557184,28,1970,1,1,0
89,3446,1988,14750.44,625212,31,1370,0,0,0
91,4247,2010,70000.0,574807,48,2600,1,1,0
93,4564,2002,55771.74,248954,44,2600,0,1,0
94,9789,2008,40524.41,115014,44,1372,0,1,0
98,871,2012,101631.3,1004044,48,3120,1,1,0
99,9710,1987,39827.46,105320,29,2204,1,0,0
100,3791,1985,50668.21,580753,27,2910,0,1,0
103,5091,1990,29375.45,627551,26,2132,0,1,0
106,3472,2002,286133.3,610278,42,2600,1,1,0
107,1195,1990,33381.2,145515,28,3470,0,0,0
108,8908,1994,30896.25,103989,34,2608,1,1,0
109,37,1988,35032.29,628703,29,2080,0,1,0
112,892,1990,35050.25,549964,28,2730,0,0,0
114,2086,2000,31661.75,735564,42,2340,1,0,0
117,3341,2002,37585.3,472983,40,2132,0,1,0
120,6120,1998,17391.71,122859,35,2080,0,0,0
127,5095,2010,20000.0,678363,46,2080,1,1,0
131,1501,2008,89153.69,839586,45,2340,1,1,0
132,1501,2006,64917.09,877349,43,2335,1,1,0
133,468,2002,92144.62,769439,44,2288,1,1,0
136,1182,1987,30710.33,698260,28,2110,0,0,0
137,2025,1996,192935.6,719480,37,3380,1,1,0
141,960,2004,306993.9,678106,43,3120,1,1,0
143,883,2008,32419.52,711081,43,2080,0,0,0
144,2499,1992,32419.52,535098,32,3040,0,1,0
145,3351,1986,25844.98,544091,26,1428,1,0,0
154,2048,1986,59244.66,730330,26,2340,1,0,0
155,6455,1993,13584.94,154826,31,1783,0,1,0
159,9720,1986,41749.59,96265,26,3236,1,1,0
162,3878,2012,28494.75,769128,53,780,1,0,0
167,4332,1992,23935.7,581395,31,2184,1,0,0
169,4603,1996,90367.98,576304,35,2860,1,1,0
170,2964,2014,82913.38,739969,54,2600,0,1,0
171,1795,2002,121242.9,702072,45,2600,0,1,0
173,5366,2002,35160.45,672848,40,2860,1,1,0
174,1005,1996,35160.45,745220,36,2080,0,0,0
176,4694,1996,34756.91,676406,36,578,0,1,0
181,1986,1996,29195.81,539680,33,1300,0,1,0
182,3750,1994,26482.5,497130,31,3042,1,0,0
184,3646,1988,46095.12,712266,31,2080,1,0,0
186,1924,1990,56748.03,544439,27,2505,1,0,0
187,7160,1998,23411.92,201724,35,1872,0,0,0
190,8560,1993,30943.47,263049,29,2476,1,0,0
191,878,2006,54097.58,804792,41,520,0,0,0
193,1667,1992,46627.99,549214,28,2080,1,1,0
194,1218,1996,62562.44,220562,31,2080,1,1,0
195,3359,2008,25327.75,685785,48,850,1,0,0
196,8217,2002,84870.05,102513,42,2600,0,1,0
203,8224,1992,57507.86,129401,35,2840,1,0,0
204,441,2000,37994.1,574889,37,2520,1,1,0
205,3196,1989,61582.51,748612,30,3393,1,0,0
206,8721,1986,31530.88,56878,25,2600,0,1,0
207,2964,2002,109118.6,668208,41,2080,0,1,0
209,5670,1988,22125.66,459827,26,1680,0,0,0
210,2119,1993,36226.5,617978,35,2250,0,1,0
213,9690,1988,9219.023000000001,90054,25,2080,1,0,0
215,8458,1986,18091.49,107290,26,2145,1,0,0
218,1229,2014,70937.0,784003,52,2080,1,1,0
219,868,1989,21817.8,703196,28,3252,1,0,0
220,148,2010,43000.0,643992,46,2496,1,0,0
222,3134,1990,24201.37,764097,31,1840,0,0,0
223,5015,1986,19880.76,506707,25,2220,0,1,0
224,7603,1990,54244.44,213534,29,1075,0,1,0
225,255,1990,13352.48,627293,28,782,0,1,0
227,3538,1987,47217.14,260213,30,1898,1,0,0
229,1501,2002,58196.6,828604,39,2808,1,1,0
230,218,2004,306993.9,975653,47,2340,1,1,0
231,5191,1994,29719.25,598112,34,2080,0,0,0
232,2073,1988,9257.743,649712,29,2290,0,1,0
233,6750,1987,38771.8,121278,26,2080,0,0,0
235,1635,1991,28667.45,465825,28,2080,1,0,0
236,4633,1985,28374.2,701510,25,2092,1,1,0
240,4939,1994,33838.75,620098,36,2150,1,1,0
244,4694,1985,40534.57,590422,25,2380,0,0,0
250,4027,1988,23969.46,612436,28,2380,0,1,0
251,3762,1996,41708.3,534510,34,3380,1,0,0
252,4592,2006,51933.68,538056,44,2600,0,0,0
253,1513,1989,24633.01,757252,27,1152,1,0,0
259,3471,2002,36372.88,551195,40,3120,1,1,0
265,8908,1985,28374.2,87339,25,2867,1,1,0
271,3134,1988,22125.66,767225,29,1960,0,0,0
276,582,2002,52134.46,856957,43,3120,0,0,0
278,920,2000,119048.2,528608,38,2340,1,0,0
279,1142,2012,128226.4,224267,54,2615,1,1,0
283,1005,1994,20597.5,680482,35,1696,0,0,0
285,8621,2004,18470.45,226854,45,2400,1,1,0
286,883,2006,32458.55,708282,41,2080,0,0,0
287,941,2012,47491.25,932559,54,520,1,1,0
292,4822,1986,19880.76,544480,28,2138,0,0,0
293,988,1986,11928.45,149797,26,1560,0,0,0
294,9,2010,52000.0,858402,46,2600,1,1,0
298,171,1989,43987.51,559836,27,2080,1,1,0
300,9400,1989,33430.51,65568,31,3851,1,1,0
302,3205,1989,35190.01,773988,25,2800,0,0,0
306,503,2002,23036.15,522532,41,2860,0,1,0
