,person,year,labinc,wt,age,hours,male,married,pp
0,3874,1990,75107.69,547425,29,1204,1,1,1
3,120,1998,197957.8,573049,36,3640,1,0,1
5,6745,2002,66683.61,153188,38,3224,0,0,1
6,2438,1994,54436.24,550633,32,3205,1,1,1
7,3095,1996,30586.08,669991,39,3430,0,0,1
10,4552,2008,112455.2,1259740,44,2600,1,1,1
11,8976,2004,112455.2,159195,44,2600,1,1,1
13,4407,2010,312324.0,788433,49,2600,1,0,1
14,5420,2008,124612.5,505595,45,3120,1,1,1
17,4859,2014,38692.91,632723,54,2080,1,0,1
18,3381,2008,126638.8,709921,46,2600,1,1,1
19,160,2002,66683.61,528044,42,2080,0,1,1
22,922,2002,90932.19,613540,42,2850,1,1,1
25,3214,1998,50837.31,630151,34,2860,1,0,1
26,32,1988,42407.51,144194,30,1440,0,0,1
27,6776,1998,197957.8,150607,36,3640,1,1,1
28,5769,1988,9219.023000000001,120461,30,800,0,1,1
29,8242,1988,55314.14,117936,28,2290,1,1,1
30,5727,2002,63046.32,87199,38,3320,1,0,1
31,3558,2014,128976.4,702088,52,3120,0,1,1
33,3575,2008,62812.83,838808,50,2080,1,1,1
34,1750,2000,43059.98,183106,41,2080,1,1,1
35,4680,1986,27833.06,513835,25,2311,1,1,1
37,1175,2002,133367.2,757940,44,3120,0,0,1
38,6894,2012,97831.97,137100,49,1480,1,0,1
39,9829,1994,44137.49,72017,33,2756,1,1,1
40,960,2014,341155.4,742433,54,3120,1,1,1
42,1142,1991,40038.34,150234,33,2340,1,1,1
44,710,1990,49070.36,685573,31,2440,1,0,1
45,1950,1991,51969.76,563491,29,2928,1,0,1
46,554,2014,341155.4,941496,51,2600,1,1,1
48,2285,2008,61799.72,874829,50,2132,0,1,1
49,285,1987,16314.86,108106,25,1744,0,0,1
50,5540,2000,154509.3,569437,37,2704,1,1,1
52,7720,2012,156721.1,417253,48,2600,1,1,1
53,1003,2002,127305.1,621058,37,3120,1,1,1
54,888,2000,68389.38,952565,42,2860,1,1,1
55,5013,1993,43773.69,92063,29,3221,1,1,1
56,1142,2004,306993.9,204338,46,2340,1,1,1
57,822,1993,90566.26,880466,35,2820,1,1,1
58,2703,1998,86958.55,122814,37,2080,1,1,1
59,39,1996,75074.93,831154,37,3120,1,1,1
60,729,2014,341155.4,873935,55,3016,1,1,1
61,5784,2002,151553.7,149822,44,2444,1,1,1
62,4305,1993,9056.625,555245,29,1041,0,1,1
65,2895,2002,286133.3,996281,37,2600,1,0,1
69,1142,2010,41194.99,214316,51,2600,1,1,1
70,6353,1993,34717.06,107827,32,2750,0,1,1
73,1603,2000,27862.34,735564,41,2080,1,1,1
74,1515,2008,86114.36,711578,46,2860,1,1,1
79,457,1996,54220.79,561753,36,2600,1,1,1
80,3228,1994,44137.49,486326,32,2185,1,1,1
81,1955,2010,57000.0,561751,47,2496,1,1,1
83,4705,1990,123982.8,473661,29,3604,0,0,1
84,9847,2006,97375.64,93605,42,2340,1,0,1
85,729,1986,85723.84,656889,26,2880,1,1,1
86,7707,1993,45283.13,99933,34,2600,1,0,1
87,9344,1996,19463.87,111617,36,1920,0,1,1
90,5051,1993,54339.75,566471,29,3933,1,1,1
92,5162,1988,79283.6,495317,26,2496,0,0,1
95,1195,1992,54399.32,146766,30,2600,0,0,1
96,4042,1998,116390.7,459128,37,4160,1,1,1
97,7337,1994,39723.75,93366,32,2080,0,0,1
101,1023,2008,60786.61,815067,49,3120,1,1,1
102,7420,1988,46095.12,192478,29,2150,0,1,1
104,10182,1990,35050.25,132347,33,2388,0,0,1
105,6130,1994,79447.49,205911,35,2160,0,1,1
110,934,1984,23080.6,711051,26,2695,1,1,1
111,2951,2006,21639.03,209930,46,1750,1,0,1
113,1631,2010,145000.0,595717,47,2600,1,0,1
115,2233,1989,35190.01,534003,25,1600,1,0,1
116,891,1987,63340.06,648390,27,3310,1,0,1
118,4508,1984,35670.02,164827,26,2288,1,0,1
119,4407,2006,302747.4,830895,44,2600,1,0,1
121,3258,1996,36147.19,948955,38,2080,1,1,1
122,4023,2002,67896.04,767899,37,1976,0,1,1
123,3214,2000,53191.74,643670,36,2860,1,0,1
124,3890,2002,115180.8,548817,38,2600,1,1,1
125,772,1993,51320.88,978633,33,3514,1,0,1
126,5067,2002,112755.9,550125,39,2080,1,0,1
128,3015,2012,326578.3,818603,53,2652,1,1,1
129,1357,2008,40524.41,856685,51,2600,1,1,1
130,4611,1994,40524.41,694350,36,3120,1,1,1
134,5206,2000,79787.61,681466,40,3255,1,0,1
135,1630,1996,54915.92,551983,32,2496,1,1,1
138,565,2014,119763.8,1074126,54,2350,1,0,1
139,12018,2002,42435.02,752251,45,2392,0,0,1
140,3653,1986,56660.16,624697,26,2546,1,0,1
142,5358,1989,56304.01,120481,26,2720,1,1,1
146,883,1989,35190.01,609851,25,2664,0,0,1
147,5398,2010,312324.0,579291,46,2340,1,1,1
148,5626,2012,104480.7,728903,47,2184,0,1,1
149,9418,2002,286133.3,149224,45,2600,1,1,1
150,1368,2004,43867.32,639181,43,3380,1,1,1
151,5859,1986,39761.52,78121,28,2208,1,1,1
152,961,2014,133582.7,644395,52,2340,1,0,1
153,4421,2014,64488.18,762781,51,1440,1,1,1
156,12023,2000,73455.27,630321,36,2600,1,1,1
157,2421,2002,37585.3,767465,43,3380,1,1,1
158,5859,1988,36876.09,77458,31,2144,1,1,1
160,5824,1992,28753.93,226480,30,2630,1,1,1
161,3653,1994,55907.49,676790,34,2302,1,0,1
163,1102,1986,85723.84,948151,28,2180,1,0,1
164,3750,1993,31698.19,481190,30,3814,1,0,1
165,888,1998,66891.2,901706,40,2652,1,1,1
166,1496,1998,72242.49,797715,37,1560,1,1,1
